Entity,Code,Year,Crude divorce rate(per 1000 people)
United Kingdom,GBR,1965,0.7
United Kingdom,GBR,1966,0.7
United Kingdom,GBR,1967,0.8
United Kingdom,GBR,1968,0.8
United Kingdom,GBR,1969,0.9
United Kingdom,GBR,1970,1
United Kingdom,GBR,1971,1.3
United Kingdom,GBR,1972,2.1
United Kingdom,GBR,1973,1.9
United Kingdom,GBR,1974,2
United Kingdom,GBR,1975,2.1
United Kingdom,GBR,1976,2.3
United Kingdom,GBR,1977,2.3
United Kingdom,GBR,1978,2.6
United Kingdom,GBR,1979,2.5
United Kingdom,GBR,1980,2.6
United Kingdom,GBR,1981,2.6
United Kingdom,GBR,1982,2.6
United Kingdom,GBR,1983,2.6
United Kingdom,GBR,1984,2.6
United Kingdom,GBR,1985,2.8
United Kingdom,GBR,1986,2.7
United Kingdom,GBR,1987,2.7
United Kingdom,GBR,1988,2.7
United Kingdom,GBR,1989,2.6
United Kingdom,GBR,1990,2.7
United Kingdom,GBR,1991,2.8
United Kingdom,GBR,1992,2.8
United Kingdom,GBR,1993,2.9
United Kingdom,GBR,1994,2.7
United Kingdom,GBR,1995,2.9
United Kingdom,GBR,1996,3
United Kingdom,GBR,1997,2.8
United Kingdom,GBR,1998,2.7
United Kingdom,GBR,1999,2.7
United Kingdom,GBR,2000,2.6
United Kingdom,GBR,2001,2.7
United Kingdom,GBR,2002,2.7
United Kingdom,GBR,2003,2.8
United Kingdom,GBR,2004,2.8
United Kingdom,GBR,2005,2.6
United Kingdom,GBR,2006,2.4
United Kingdom,GBR,2007,2.3
United Kingdom,GBR,2008,2.2
United Kingdom,GBR,2009,2
United Kingdom,GBR,2010,2.1
United Kingdom,GBR,2011,2.1
United Kingdom,GBR,2012,2.1
United Kingdom,GBR,2013,2
United Kingdom,GBR,2014,1.9
United Kingdom,GBR,2015,1.7
United Kingdom,GBR,2016,1.8
United Kingdom,GBR,2017,1.7
United Kingdom,GBR,2018,1.5
United Kingdom,GBR,2019,1.8
United Kingdom,GBR,2020,1.7
United States,USA,1970,3.5
United States,USA,1985,5
United States,USA,1992,4.8
United States,USA,1993,4.6
United States,USA,1994,4.6
United States,USA,1995,4.4
United States,USA,1996,4.3
United States,USA,1997,4.3
United States,USA,1998,4.2
United States,USA,2000,4
United States,USA,2001,4
United States,USA,2002,3.9
United States,USA,2003,3.8
United States,USA,2004,3.7
United States,USA,2005,3.6
United States,USA,2006,3.7
United States,USA,2007,3.6
United States,USA,2008,3.5
United States,USA,2009,3.5
United States,USA,2010,3.6
United States,USA,2011,3.6
United States,USA,2012,3.4
United States,USA,2013,3.3
United States,USA,2014,3.2
United States,USA,2015,3.1
United States,USA,2016,3
United States,USA,2017,2.9
United States,USA,2018,2.9
United States,USA,2019,2.7
United States,USA,2020,2.299
United States,USA,2021,2.5
